orderDetailId,orderId,productId,unitPrice,quantity,discount
1,10248,11,14.00,12,0.00
2,10248,42,9.80,10,0.00
3,10248,72,34.80,5,0.00
4,10249,14,18.60,9,0.00
5,10249,51,42.40,40,0.00
6,10250,41,7.70,10,0.00
7,10250,51,42.40,35,0.15
8,10250,65,16.80,15,0.15
9,10251,22,16.80,6,0.05
10,10251,57,15.60,15,0.05
11,10251,65,16.80,20,0.00
12,10252,20,64.80,40,0.05
13,10252,33,2.00,25,0.05
14,10252,60,27.20,40,0.00
15,10253,31,10.00,20,0.00
16,10253,39,14.40,42,0.00
17,10253,49,16.00,40,0.00
18,10254,24,3.60,15,0.15
19,10254,55,19.20,21,0.15
20,10254,74,8.00,21,0.00
21,10255,2,15.20,20,0.00
22,10255,16,13.90,35,0.00
23,10255,36,15.20,25,0.00
24,10255,59,44.00,30,0.00
25,10256,53,26.20,15,0.00
26,10256,77,10.40,12,0.00
27,10257,27,35.10,25,0.00
28,10257,39,14.40,6,0.00
29,10257,77,10.40,15,0.00
30,10258,2,15.20,50,0.20
31,10258,5,17.00,65,0.20
32,10258,32,25.60,6,0.20
33,10259,21,8.00,10,0.00
34,10259,37,20.80,1,0.00
35,10260,41,7.70,16,0.25
36,10260,57,15.60,50,0.00
37,10260,62,39.40,15,0.25
38,10260,70,12.00,21,0.25
39,10261,21,8.00,20,0.00
40,10261,35,14.40,20,0.00
41,10262,5,17.00,12,0.20
42,10262,7,24.00,15,0.00
43,10262,56,30.40,2,0.00
44,10263,16,13.90,60,0.25
45,10263,24,3.60,28,0.00
46,10263,30,20.70,60,0.25
47,10263,74,8.00,36,0.25
48,10264,2,15.20,35,0.00
49,10264,41,7.70,25,0.15
50,10265,17,31.20,30,0.00
51,10265,70,12.00,20,0.00
52,10266,12,30.40,12,0.05
53,10267,40,14.70,50,0.00
54,10267,59,44.00,70,0.15
55,10267,76,14.40,15,0.15
56,10268,29,99.00,10,0.00
57,10268,72,27.80,4,0.00
58,10269,33,2.00,60,0.05
59,10269,72,27.80,20,0.05
60,10270,36,15.20,30,0.00
61,10270,43,36.80,25,0.00
62,10271,33,2.00,24,0.00
63,10272,20,64.80,6,0.00
64,10272,31,10.00,40,0.00
65,10272,72,27.80,24,0.00
66,10273,10,24.80,24,0.05
67,10273,31,10.00,15,0.05
68,10273,33,2.00,20,0.00
69,10273,40,14.70,60,0.05
70,10273,76,14.40,33,0.05
71,10274,71,17.20,20,0.00
72,10274,72,27.80,7,0.00
73,10275,24,3.60,12,0.05
74,10275,59,44.00,6,0.05
75,10276,10,24.80,15,0.00
76,10276,13,4.80,10,0.00
77,10277,28,36.40,20,0.00
78,10277,62,39.40,12,0.00
79,10278,44,15.50,16,0.00
80,10278,59,44.00,15,0.00
81,10278,63,35.10,8,0.00
82,10278,73,12.00,25,0.00
83,10279,17,31.20,15,0.25
84,10280,24,3.60,12,0.00
85,10280,55,19.20,20,0.00
86,10280,75,6.20,30,0.00
87,10281,19,7.30,1,0.00
88,10281,24,3.60,6,0.00
89,10281,35,14.40,4,0.00
90,10282,30,20.70,6,0.00
91,10282,57,15.60,2,0.00
92,10283,15,12.40,20,0.00
93,10283,19,7.30,18,0.00
94,10283,60,27.20,35,0.00
95,10283,72,27.80,3,0.00
96,10284,27,35.10,15,0.25
97,10284,44,15.50,21,0.00
98,10284,60,27.20,20,0.25
99,10284,67,11.20,5,0.25
100,10285,1,14.40,45,0.20
101,10285,40,14.70,40,0.20
102,10285,53,26.20,36,0.20
103,10286,35,14.40,100,0.00
104,10286,62,39.40,40,0.00
105,10287,16,13.90,40,0.15
106,10287,34,11.20,20,0.00
107,10287,46,9.60,15,0.15
108,10288,54,5.90,10,0.10
109,10288,68,10.00,3,0.10
110,10289,3,8.00,30,0.00
111,10289,64,26.60,9,0.00
112,10290,5,17.00,20,0.00
113,10290,29,99.00,15,0.00
114,10290,49,16.00,15,0.00
115,10290,77,10.40,10,0.00
116,10291,13,4.80,20,0.10
117,10291,44,15.50,24,0.10
118,10291,51,42.40,2,0.10
119,10292,20,64.80,20,0.00
120,10293,18,50.00,12,0.00
121,10293,24,3.60,10,0.00
122,10293,63,35.10,5,0.00
123,10293,75,6.20,6,0.00
124,10294,1,14.40,18,0.00
125,10294,17,31.20,15,0.00
126,10294,43,36.80,15,0.00
127,10294,60,27.20,21,0.00
128,10294,75,6.20,6,0.00
129,10295,56,30.40,4,0.00
130,10296,11,16.80,12,0.00
131,10296,16,13.90,30,0.00
132,10296,69,28.80,15,0.00
133,10297,39,14.40,60,0.00
134,10297,72,27.80,20,0.00
135,10298,2,15.20,40,0.00
136,10298,36,15.20,40,0.25
137,10298,59,44.00,30,0.25
138,10298,62,39.40,15,0.00
139,10299,19,7.30,15,0.00
140,10299,70,12.00,20,0.00
141,10300,66,13.60,30,0.00
142,10300,68,10.00,20,0.00
143,10301,40,14.70,10,0.00
144,10301,56,30.40,20,0.00
145,10302,17,31.20,40,0.00
146,10302,28,36.40,28,0.00
147,10302,43,36.80,12,0.00
148,10303,40,14.70,40,0.10
149,10303,65,16.80,30,0.10
150,10303,68,10.00,15,0.10
151,10304,49,16.00,30,0.00
152,10304,59,44.00,10,0.00
153,10304,71,17.20,2,0.00
154,10305,18,50.00,25,0.10
155,10305,29,99.00,25,0.10
156,10305,39,14.40,30,0.10
157,10306,30,20.70,10,0.00
158,10306,53,26.20,10,0.00
159,10306,54,5.90,5,0.00
160,10307,62,39.40,10,0.00
161,10307,68,10.00,3,0.00
162,10308,69,28.80,1,0.00
163,10308,70,12.00,5,0.00
164,10309,4,17.60,20,0.00
165,10309,6,20.00,30,0.00
166,10309,42,11.20,2,0.00
167,10309,43,36.80,20,0.00
168,10309,71,17.20,3,0.00
169,10310,16,13.90,10,0.00
170,10310,62,39.40,5,0.00
171,10311,42,11.20,6,0.00
172,10311,69,28.80,7,0.00
173,10312,28,36.40,4,0.00
174,10312,43,36.80,24,0.00
175,10312,53,26.20,20,0.00
176,10312,75,6.20,10,0.00
177,10313,36,15.20,12,0.00
178,10314,32,25.60,40,0.10
179,10314,58,10.60,30,0.10
180,10314,62,39.40,25,0.10
181,10315,34,11.20,14,0.00
182,10315,70,12.00,30,0.00
183,10316,41,7.70,10,0.00
184,10316,62,39.40,70,0.00
185,10317,1,14.40,20,0.00
186,10318,41,7.70,20,0.00
187,10318,76,14.40,6,0.00
188,10319,17,31.20,8,0.00
189,10319,28,36.40,14,0.00
190,10319,76,14.40,30,0.00
191,10320,71,17.20,30,0.00
192,10321,35,14.40,10,0.00
193,10322,52,5.60,20,0.00
194,10323,15,12.40,5,0.00
195,10323,25,11.20,4,0.00
196,10323,39,14.40,4,0.00
197,10324,16,13.90,21,0.15
198,10324,35,14.40,70,0.15
199,10324,46,9.60,30,0.00
200,10324,59,44.00,40,0.15
201,10324,63,35.10,80,0.15
202,10325,6,20.00,6,0.00
203,10325,13,4.80,12,0.00
204,10325,14,18.60,9,0.00
205,10325,31,10.00,4,0.00
206,10325,72,27.80,40,0.00
207,10326,4,17.60,24,0.00
208,10326,57,15.60,16,0.00
209,10326,75,6.20,50,0.00
210,10327,2,15.20,25,0.20
211,10327,11,16.80,50,0.20
212,10327,30,20.70,35,0.20
213,10327,58,10.60,30,0.20
214,10328,59,44.00,9,0.00
215,10328,65,16.80,40,0.00
216,10328,68,10.00,10,0.00
217,10329,19,7.30,10,0.05
218,10329,30,20.70,8,0.05
219,10329,38,210.80,20,0.05
220,10329,56,30.40,12,0.05
221,10330,26,24.90,50,0.15
222,10330,72,27.80,25,0.15
223,10331,54,5.90,15,0.00
224,10332,18,50.00,40,0.20
225,10332,42,11.20,10,0.20
226,10332,47,7.60,16,0.20
227,10333,14,18.60,10,0.00
228,10333,21,8.00,10,0.10
229,10333,71,17.20,40,0.10
230,10334,52,5.60,8,0.00
231,10334,68,10.00,10,0.00
232,10335,2,15.20,7,0.20
233,10335,31,10.00,25,0.20
234,10335,32,25.60,6,0.20
235,10335,51,42.40,48,0.20
236,10336,4,17.60,18,0.10
237,10337,23,7.20,40,0.00
238,10337,26,24.90,24,0.00
239,10337,36,15.20,20,0.00
240,10337,37,20.80,28,0.00
241,10337,72,27.80,25,0.00
242,10338,17,31.20,20,0.00
243,10338,30,20.70,15,0.00
244,10339,4,17.60,10,0.00
245,10339,17,31.20,70,0.05
246,10339,62,39.40,28,0.00
247,10340,18,50.00,20,0.05
248,10340,41,7.70,12,0.05
249,10340,43,36.80,40,0.05
250,10341,33,2.00,8,0.00
251,10341,59,44.00,9,0.15
252,10342,2,15.20,24,0.20
253,10342,31,10.00,56,0.20
254,10342,36,15.20,40,0.20
255,10342,55,19.20,40,0.20
256,10343,64,26.60,50,0.00
257,10343,68,10.00,4,0.05
258,10343,76,14.40,15,0.00
259,10344,4,17.60,35,0.00
260,10344,8,32.00,70,0.25
261,10345,8,32.00,70,0.00
262,10345,19,7.30,80,0.00
263,10345,42,11.20,9,0.00
264,10346,17,31.20,36,0.10
265,10346,56,30.40,20,0.00
266,10347,25,11.20,10,0.00
267,10347,39,14.40,50,0.15
268,10347,40,14.70,4,0.00
269,10347,75,6.20,6,0.15
270,10348,1,14.40,15,0.15
271,10348,23,7.20,25,0.00
272,10349,54,5.90,24,0.00
273,10350,50,13.00,15,0.10
274,10350,69,28.80,18,0.10
275,10351,38,210.80,20,0.05
276,10351,41,7.70,13,0.00
277,10351,44,15.50,77,0.05
278,10351,65,16.80,10,0.05
279,10352,24,3.60,10,0.00
280,10352,54,5.90,20,0.15
281,10353,11,16.80,12,0.20
282,10353,38,210.80,50,0.20
283,10354,1,14.40,12,0.00
284,10354,29,99.00,4,0.00
285,10355,24,3.60,25,0.00
286,10355,57,15.60,25,0.00
287,10356,31,10.00,30,0.00
288,10356,55,19.20,12,0.00
289,10356,69,28.80,20,0.00
290,10357,10,24.80,30,0.20
291,10357,26,24.90,16,0.00
292,10357,60,27.20,8,0.20
293,10358,24,3.60,10,0.05
294,10358,34,11.20,10,0.05
295,10358,36,15.20,20,0.05
296,10359,16,13.90,56,0.05
297,10359,31,10.00,70,0.05
298,10359,60,27.20,80,0.05
299,10360,28,36.40,30,0.00
300,10360,29,99.00,35,0.00
301,10360,38,210.80,10,0.00
302,10360,49,16.00,35,0.00
303,10360,54,5.90,28,0.00
304,10361,39,14.40,54,0.10
305,10361,60,27.20,55,0.10
306,10362,25,11.20,50,0.00
307,10362,51,42.40,20,0.00
308,10362,54,5.90,24,0.00
309,10363,31,10.00,20,0.00
310,10363,75,6.20,12,0.00
311,10363,76,14.40,12,0.00
312,10364,69,28.80,30,0.00
313,10364,71,17.20,5,0.00
314,10365,11,16.80,24,0.00
315,10366,65,16.80,5,0.00
316,10366,77,10.40,5,0.00
317,10367,34,11.20,36,0.00
318,10367,54,5.90,18,0.00
319,10367,65,16.80,15,0.00
320,10367,77,10.40,7,0.00
321,10368,21,8.00,5,0.10
322,10368,28,36.40,13,0.10
323,10368,57,15.60,25,0.00
324,10368,64,26.60,35,0.10
325,10369,29,99.00,20,0.00
326,10369,56,30.40,18,0.25
327,10370,1,14.40,15,0.15
328,10370,64,26.60,30,0.00
329,10370,74,8.00,20,0.15
330,10371,36,15.20,6,0.20
331,10372,20,64.80,12,0.25
332,10372,38,210.80,40,0.25
333,10372,60,27.20,70,0.25
334,10372,72,27.80,42,0.25
335,10373,58,10.60,80,0.20
336,10373,71,17.20,50,0.20
337,10374,31,10.00,30,0.00
338,10374,58,10.60,15,0.00
339,10375,14,18.60,15,0.00
340,10375,54,5.90,10,0.00
341,10376,31,10.00,42,0.05
342,10377,28,36.40,20,0.15
343,10377,39,14.40,20,0.15
344,10378,71,17.20,6,0.00
345,10379,41,7.70,8,0.10
346,10379,63,35.10,16,0.10
347,10379,65,16.80,20,0.10
348,10380,30,20.70,18,0.10
349,10380,53,26.20,20,0.10
350,10380,60,27.20,6,0.10
351,10380,70,12.00,30,0.00
352,10381,74,8.00,14,0.00
353,10382,5,17.00,32,0.00
354,10382,18,50.00,9,0.00
355,10382,29,99.00,14,0.00
356,10382,33,2.00,60,0.00
357,10382,74,8.00,50,0.00
358,10383,13,4.80,20,0.00
359,10383,50,13.00,15,0.00
360,10383,56,30.40,20,0.00
361,10384,20,64.80,28,0.00
362,10384,60,27.20,15,0.00
363,10385,7,24.00,10,0.20
364,10385,60,27.20,20,0.20
365,10385,68,10.00,8,0.20
366,10386,24,3.60,15,0.00
367,10386,34,11.20,10,0.00
368,10387,24,3.60,15,0.00
369,10387,28,36.40,6,0.00
370,10387,59,44.00,12,0.00
371,10387,71,17.20,15,0.00
372,10388,45,7.60,15,0.20
373,10388,52,5.60,20,0.20
374,10388,53,26.20,40,0.00
375,10389,10,24.80,16,0.00
376,10389,55,19.20,15,0.00
377,10389,62,39.40,20,0.00
378,10389,70,12.00,30,0.00
379,10390,31,10.00,60,0.10
380,10390,35,14.40,40,0.10
381,10390,46,9.60,45,0.00
